Rank,Player,RUSHING ATT,RUSHING YDS,RUSHING Y/A,RUSHING LG,RUSHING 20+,RUSHING TD,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
166,Damien Anderson (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%,2004,rb
167,Jasen Isom (FA),1,0,0.0,0,0,0,1,2,1,1.0,0,0,3,0.1,0.0,0.0%,2004,rb
168,Omar Easy (FA),4,1,0.3,4,0,0,0,0,0,0.0,0,0,4,0.1,0.0,0.0%,2004,rb
169,Chad Morton (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,6,0.0,0.0,0.0%,2004,rb
170,Harold Morrow (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,8,0.0,0.0,0.0%,2004,rb
171,Aveion Cason (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0.0,0.0,0.0%,2004,rb
172,Keith Smith (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,12,0.0,0.0,0.0%,2004,rb
173,Dee Brown (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,5,0.0,0.0,0.0%,2004,rb
174,Chris Massey (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,0.0%,2004,rb
175,Rock Cartwright (FA),2,0,0.0,2,0,0,0,1,0,0.0,0,0,8,0.0,0.0,0.0%,2004,rb
176,Ovie Mughelli (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,2004,rb
177,Vonta Leach (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,6,0.0,0.0,0.0%,2004,rb
178,Derrick Ward (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,1,5,-2.0,-0.4,0.0%,2004,rb
1,Shaun Alexander (FA),370,1880,5.1,88,0,27,15,7,78,5.2,1,0,16,363.8,22.7,0.0%,2005,rb
2,Larry Johnson (FA),336,1750,5.2,49,0,20,33,0,343,10.4,1,0,16,335.3,21.0,0.0%,2005,rb
3,LaDainian Tomlinson (FA),339,1462,4.3,62,0,18,51,9,370,7.3,2,0,16,317.1,19.8,0.0%,2005,rb
4,Tiki Barber (FA),357,1860,5.2,95,0,9,54,15,530,9.8,2,0,16,307.0,19.2,0.0%,2005,rb
5,Edgerrin James (FA),360,1506,4.2,33,0,13,44,0,337,7.7,1,0,15,268.3,17.9,0.0%,2005,rb
6,Clinton Portis (FA),352,1516,4.3,47,0,11,30,6,216,7.2,0,0,16,245.9,15.4,0.0%,2005,rb
7,LaMont Jordan (FA),272,1025,3.8,26,0,9,70,0,563,8.0,2,0,14,226.8,16.2,0.0%,2005,rb
