Rank,Player,RECEIVING REC,RECEIVING TGT,RECEIVING YDS,RECEIVING Y/R,RECEIVING LG,RECEIVING 20+,RECEIVING TD,RUSHING ATT,RUSHING YDS,RUSHING TD,MISC FL,MISC G,MISC FPTS,MISC FPTS/G,MISC ROST,year,position
60,Michael Gaines (FA),15,0,146,9.7,19,0,0,0,0,0,0,11,14.6,1.3,0.0%,2006,te
61,Jerame Tuman (FA),7,0,73,10.4,21,0,1,0,0,0,0,7,13.3,1.9,0.0%,2006,te
62,Maurice Stovall (FA),7,0,102,14.6,27,0,0,2,29,0,0,4,13.1,3.3,0.0%,2006,te
63,Anthony Fasano (FA),14,0,126,9.0,22,0,0,0,0,0,0,16,12.6,0.8,0.1%,2006,te
64,Jeb Putzier (FA),13,0,125,9.6,26,0,0,0,0,0,0,9,12.5,1.4,0.0%,2006,te
65,Ernie Conwell (FA),8,0,57,7.1,15,0,1,0,0,0,0,4,11.7,2.9,0.0%,2006,te
66,Richard Owens (FA),6,0,45,7.5,16,0,1,0,0,0,0,9,10.5,1.2,0.0%,2006,te
67,Jeff Dugan (FA),8,0,40,5.0,10,0,1,0,0,0,0,6,10.0,1.7,0.0%,2006,te
68,Marcus Pollard (FA),12,0,100,8.3,22,0,0,0,0,0,0,10,10.0,1.0,0.0%,2006,te
69,Dominique Byrd (FA),2,0,39,19.5,27,0,1,0,0,0,0,1,9.9,9.9,0.0%,2006,te
70,Will Heller (FA),4,0,32,8.0,12,0,1,0,0,0,0,13,9.2,0.7,0.0%,2006,te
71,Visanthe Shiancoe (FA),12,0,81,6.8,16,0,0,0,0,0,0,10,8.1,0.8,0.0%,2006,te
72,Dwayne Blakley (FA),6,0,76,12.7,28,0,0,0,0,0,0,5,7.6,1.5,0.0%,2006,te
73,Casey Fitzsimmons (FA),7,0,71,10.1,18,0,0,0,0,0,0,7,7.1,1.0,0.0%,2006,te
74,Itula Mili (FA),10,0,69,6.9,15,0,0,0,0,0,0,6,6.9,1.2,0.0%,2006,te
75,Ben Hartsock (FA),6,0,68,11.3,23,0,0,0,0,0,0,6,6.8,1.1,0.0%,2006,te
76,Aaron Walker (FA),5,0,68,13.6,26,0,0,0,0,0,0,5,6.8,1.4,0.0%,2006,te
77,Todd Yoder (FA),1,0,4,4.0,4,0,1,0,0,0,0,5,6.4,1.3,0.0%,2006,te
78,Ryan Neufeld (FA),1,0,4,4.0,4,0,1,0,0,0,0,4,6.4,1.6,0.0%,2006,te
79,Jeff King (FA),1,0,1,1.0,1,0,1,0,0,0,0,11,6.1,0.6,0.0%,2006,te
80,Nate Jackson (FA),5,0,49,9.8,24,0,0,0,0,0,0,5,4.9,1.0,0.0%,2006,te
81,Jimmy Kleinsasser (FA),7,0,47,6.7,14,0,0,0,0,0,0,7,4.7,0.7,0.0%,2006,te
82,Brad Cieslak (FA),6,0,46,7.7,13,0,0,0,0,0,0,4,4.6,1.2,0.0%,2006,te
83,Sean Ryan (FA),6,0,44,7.3,10,0,0,0,0,0,0,7,4.4,0.6,0.0%,2006,te
84,John Owens (FA),4,0,44,11.0,25,0,0,0,0,0,0,3,4.4,1.5,0.0%,2006,te
85,Jason Dunn (FA),4,0,40,10.0,15,0,0,0,0,0,0,7,4.0,0.6,0.0%,2006,te
86,Gabriel Reid (FA),4,0,37,9.3,19,0,0,0,0,0,0,3,3.7,1.2,0.0%,2006,te
87,Kyle Brady (FA),5,0,37,7.4,13,0,0,0,0,0,0,14,3.7,0.3,0.0%,2006,te
88,Madison Hedgecock (FA),7,0,29,4.1,7,0,0,1,2,0,0,12,3.1,0.3,0.0%,2006,te
89,Delanie Walker (FA),2,0,30,15.0,29,0,0,0,0,0,0,7,3.0,0.4,0.1%,2006,te
90,John Bronson (FA),1,0,25,25.0,25,0,0,0,0,0,0,1,2.5,2.5,0.0%,2006,te
91,Sean McHugh (FA),3,0,25,8.3,11,0,0,0,0,0,0,3,2.5,0.8,0.0%,2006,te
92,Jerry Porter (FA),1,0,19,19.0,19,0,0,0,0,0,0,1,1.9,1.9,0.0%,2006,te
93,Nate Lawrie (FA),1,0,17,17.0,17,0,0,0,0,0,0,2,1.7,0.9,0.0%,2006,te
94,Christian Fauria (FA),2,0,17,8.5,11,0,0,0,0,0,0,3,1.7,0.6,0.0%,2006,te
95,Quinn Sypniewski (FA),2,0,15,7.5,9,0,0,0,0,0,0,7,1.5,0.2,0.0%,2006,te
96,James Hodgins (FA),2,0,9,4.5,6,0,0,0,0,0,0,3,0.9,0.3,0.0%,2006,te
97,James Adkisson (FA),1,0,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,0.0%,2006,te
98,Dave Moore (FA),1,0,9,9.0,9,0,0,0,0,0,0,2,0.9,0.5,0.0%,2006,te
