,team,year,TOTAL FIRST DOWNS,TOTAL FIRST DOWNS Opponent,FIRST DOWNS Rushing,FIRST DOWNS Passing,FIRST DOWNS By Penalty,FIRST DOWNS Rushing Opponent,FIRST DOWNS Passing Opponent,FIRST DOWNS By Penalty Opponent,THIRD DOWN CONVERSIONS,THIRD DOWN CONVERSIONS Opponent,FOURTH DOWN CONVERSIONS,FOURTH DOWN CONVERSIONS Opponent,TOTAL OFFENSIVE YARDS,TOTAL OFFENSIVE YARDS Opponent,OFFENSE Plays,OFFENSE Average Yards,OFFENSE Plays Opponent,OFFENSE Average Yards Opponent,TOTAL RUSHING YARDS,TOTAL RUSHING YARDS Opponent,RUSHING Plays,RUSHING Average Yards,RUSHING Plays Opponent,RUSHING Average Yards Opponent,TOTAL PASSING YARDS,TOTAL PASSING YARDS Opponent,PASSING Comp,PASSING Att,PASSING Int,PASSING Avg,PASSING Comp Opponent,PASSING Att Opponent,PASSING Int Opponent,PASSING Avg Opponent,SACKS,SACKS Opponent,FIELD GOALS,FIELD GOALS Opponent,TOUCHDOWNS,TOUCHDOWNS Opponent,TDs Rushing,TDs Passing,TDs Returns,TDs Defensive,TDs Rushing Opponent,TDs Passing Opponent,TDs Returns Opponent,TDs Defensive Opponent,TURNOVER RATIO,TURNOVER RATIO Opponent
0,giants,2022,352,370,150,170,32,134,200,36,78 / 212,72 / 205,10 / 21,11 / 17,5676,6089,1089,5.2,1078,5.6,2519,2451,520,4.8,469,5.2,3431,3638,346,520,6,6.6,349,568,6,6.4,49,41,29 / 32,37 / 43,39,37,21,17,0,2,16,21,0,0,3,
0,newyorkjets,2017,269,329,77,157,35,88,191,50,81 / 228,82 / 221,7 / 13,5 / 11,4884,5636,984,5,1052,5.4,1702,1887,427,4,466,4,3501,3749,323,510,12,6.9,329,558,11,6.7,47,28,25 / 30,21 / 29,32,46,13,19,0,0,13,30,1,2,-4,
0,newyorkjets,2018,258,343,84,157,17,104,201,38,69 / 214,72 / 213,11 / 22,9 / 14,4787,6086,971,4.9,1061,5.7,1622,2021,410,4,440,4.6,3404,4065,299,524,19,6.5,367,582,13,7,37,39,33 / 36,33 / 39,34,49,11,18,2,3,16,29,0,4,-10,
0,newyorkjets,2019,253,302,61,162,30,75,187,40,65 / 212,88 / 225,7 / 19,3 / 12,4368,5170,956,4.6,1037,5,1257,1391,383,3.3,417,3.3,3443,3779,323,521,16,6.6,363,585,12,6.5,52,35,19 / 28,28 / 34,29,39,6,19,0,4,12,25,0,2,-4,
0,newyorkjets,2020,269,381,94,146,29,100,235,46,70 / 206,90 / 202,7 / 18,5 / 12,4479,6201,948,4.7,1081,5.7,1683,1792,406,4.2,445,4,3115,4409,292,499,14,6.2,418,605,10,7.3,43,31,21 / 28,29 / 35,26,53,9,16,0,1,16,34,0,3,0,
0,newyorkjets,2021,310,401,87,195,28,129,234,38,77 / 212,99 / 223,14 / 29,13 / 21,5208,6760,1036,5,1145,5.9,1667,2351,380,4.4,525,4.5,3959,4409,357,603,20,6.6,401,587,7,7.5,53,33,21 / 27,36 / 39,36,57,14,20,1,1,28,28,0,1,-13,
0,newyorkjets,2022,294,310,79,191,24,117,166,27,83 / 240,93 / 244,11 / 28,11 / 26,5409,5288,1074,5,1093,4.8,1686,2068,405,4.2,492,4.2,4040,3220,357,627,14,6.4,347,556,12,5.8,42,45,30 / 37,33 / 43,29,31,13,15,0,0,14,15,2,0,-7,
0,philadelphiaeagles,2017,338,272,108,193,37,62,177,33,96 / 230,66 / 205,17 / 26,4 / 18,5852,4904,1073,5.4,976,5,2115,1267,473,4.5,337,3.8,3967,3637,341,564,9,7,363,601,19,6,36,38,29 / 34,20 / 26,49,33,9,38,0,5,7,24,0,2,10,
0,philadelphiaeagles,2018,346,308,94,221,31,71,215,22,84 / 205,71 / 201,14 / 23,11 / 19,5845,5859,1037,5.6,1002,5.8,1570,1551,398,3.9,332,4.7,4524,4308,422,599,11,7.6,417,626,10,6.9,40,44,26 / 31,32 / 37,41,37,12,29,0,0,14,22,0,1,-6,
0,philadelphiaeagles,2019,354,289,104,215,35,76,185,28,104 / 229,70 / 205,8 / 24,11 / 18,5772,5307,1104,5.2,967,5.5,1939,1442,454,4.3,353,4.1,4063,3865,391,613,8,6.6,348,571,11,6.8,37,43,22 / 26,23 / 27,44,41,16,27,0,3,13,27,1,0,-3,
0,philadelphiaeagles,2020,336,340,114,177,45,98,209,33,82 / 220,80 / 211,15 / 35,7 / 18,5354,5810,1066,5,1060,5.5,2027,2012,403,5,481,4.2,3728,3798,334,598,20,6.2,364,530,8,7.2,65,49,14 / 19,27 / 32,41,48,16,22,1,2,20,27,0,1,-10,
0,philadelphiaeagles,2021,352,358,163,167,22,115,208,35,101 / 221,93 / 217,11 / 24,14 / 29,6169,5540,1086,5.7,1065,5.2,2715,1834,550,4.9,458,4,3585,3756,307,494,10,7.3,409,589,12,6.4,31,29,30 / 33,21 / 24,47,47,25,20,0,5,18,28,0,1,0,
0,philadelphiaeagles,2022,385,325,161,195,29,115,186,24,102 / 222,86 / 223,22 / 32,15 / 25,6614,5125,1124,5.9,1072,4.8,2509,2068,544,4.6,446,4.6,4364,3057,350,536,9,8.1,350,556,17,5.5,44,70,22 / 25,22 / 25,59,40,32,25,0,2,15,22,0,3,8,
0,steelers,2017,348,270,96,217,35,89,157,24,92 / 209,72 / 199,3 / 8,6 / 19,6047,4910,1051,5.8,940,5.2,1667,1693,437,3.8,385,4.4,4534,3217,384,590,15,7.7,297,499,16,6.4,24,56,35 / 38,20 / 24,43,36,12,29,1,0,14,20,0,2,2,
0,steelers,2018,378,317,88,251,39,84,200,33,88 / 198,72 / 197,9 / 14,7 / 13,6453,5235,1058,6.1,987,5.3,1445,1538,345,4.2,369,4.2,5174,3697,459,689,17,7.5,362,566,8,6.5,24,52,16 / 23,22 / 26,53,42,16,35,0,3,13,27,1,1,-11,
0,steelers,2019,265,304,75,147,43,110,164,30,67 / 195,76 / 209,2 / 15,10 / 21,4428,4866,937,4.7,1030,4.7,1447,1753,395,3.7,462,3.8,3214,3113,315,510,19,6.3,314,514,20,6.1,32,54,29 / 31,25 / 31,27,32,7,18,1,3,7,23,0,2,8,
0,steelers,2020,322,281,81,206,35,94,163,24,97 / 230,83 / 222,10 / 19,5 / 20,5354,4893,1043,5.1,996,4.9,1351,1783,373,3.6,414,4.3,4129,3110,428,656,11,6.3,298,526,18,5.9,14,56,23 / 24,20 / 24,50,36,12,35,0,3,13,22,0,1,9,
0,steelers,2021,323,354,85,204,34,144,186,24,93 / 239,86 / 232,10 / 21,13 / 24,5361,6139,1113,4.8,1116,5.5,1583,2483,411,3.8,498,5,4017,3656,425,664,11,6,355,563,13,6.5,38,55,36 / 40,34 / 38,34,43,10,23,0,0,17,24,0,2,2,
0,steelers,2022,345,314,129,189,27,95,196,23,106 / 236,85 / 216,11 / 15,13 / 21,5484,5617,1109,4.9,1024,5.5,2073,1838,500,4.2,442,4.2,3661,3779,364,571,14,6.4,332,542,20,7,38,40,24 / 34,30 / 34,29,37,16,12,0,1,7,29,0,1,4,
0,49ers,2017,321,343,88,206,27,108,198,37,91 / 234,95 / 221,8 / 18,10 / 12,5587,5625,1058,5.3,1065,5.3,1662,1861,408,4.1,491,3.8,4235,3764,362,607,15,7,344,544,10,6.9,43,30,39 / 41,31 / 35,31,42,15,15,0,1,13,27,1,1,-3,
0,49ers,2018,344,337,98,201,45,104,195,38,73 / 193,87 / 216,5 / 10,10 / 17,5769,5546,1003,5.8,1023,5.4,1902,1814,423,4.5,444,4.1,4247,3732,331,532,20,8,344,542,2,6.9,48,37,33 / 34,24 / 27,35,52,7,26,1,1,13,35,0,4,-25,
0,49ers,2019,336,285,110,195,31,105,150,30,90 / 200,64 / 192,7 / 12,8 / 25,6097,4509,1012,6,968,4.7,2305,1802,498,4.6,401,4.5,4029,2707,331,478,13,8.4,318,519,12,5.2,36,48,30 / 39,17 / 20,54,37,23,28,0,5,11,23,0,3,4,
0,49ers,2020,350,311,101,217,32,102,176,33,77 / 197,71 / 200,6 / 15,13 / 20,5922,5030,1046,5.7,997,5,1889,1703,437,4.3,430,4,4320,3327,371,570,17,7.6,341,537,12,6.2,39,30,22 / 26,33 / 37,45,42,19,25,0,1,12,25,1,4,-11,
0,49ers,2021,361,318,130,200,31,97,180,41,80 / 199,88 / 220,10 / 20,11 / 25,6337,5320,1035,6.1,1043,5.1,2166,1760,499,4.3,439,4,4437,3510,343,514,14,8.6,372,545,9,6.4,33,48,27 / 32,21 / 27,50,43,22,26,0,2,17,25,1,0,-4,
0,49ers,2022,347,291,132,188,27,77,188,26,95 / 211,85 / 218,7 / 17,10 / 25,6216,5110,1047,5.9,1026,5,2360,1321,504,4.7,389,3.4,4049,3789,338,512,9,7.9,389,593,20,6.4,31,44,27 / 32,16 / 21,52,32,20,30,0,3,11,20,0,1,13,
0,seahawks,2017,299,316,85,183,31,90,181,45,79 / 212,85 / 222,5 / 9,7 / 15,5286,5171,1007,5.2,1045,5,1629,1824,409,4,452,4,3979,3347,340,555,12,7.2,325,554,14,6,43,39,21 / 29,31 / 35,42,34,4,34,1,4,14,19,0,1,6,
0,seahawks,2018,329,323,133,156,40,91,201,31,81 / 208,64 / 183,11 / 14,6 / 13,5653,5653,1012,5.6,955,5.9,2560,1811,534,4.8,366,5,3448,3842,280,427,7,8.1,355,546,12,7,51,43,22 / 27,26 / 33,51,38,15,35,0,2,9,26,1,2,15,
0,seahawks,2019,341,346,121,190,30,97,224,25,79 / 200,71 / 185,7 / 14,7 / 12,5991,6106,1046,5.7,1014,6,2200,1883,481,4.6,388,4.8,4110,4223,341,517,6,8,383,598,16,7.1,48,28,23 / 28,25 / 35,48,47,15,31,0,3,22,19,1,5,12,
0,seahawks,2020,356,376,111,216,29,97,253,26,76 / 189,105 / 223,8 / 14,10 / 23,5912,6089,1022,5.8,1112,5.5,1971,1529,411,4.8,392,3.9,4245,4560,388,563,13,7.5,450,674,14,6.8,48,46,24 / 24,29 / 35,55,42,15,40,0,0,18,23,0,1,4,
0,seahawks,2021,302,400,106,166,30,124,240,36,72 / 193,88 / 224,4 / 11,13 / 31,5506,6445,954,5.8,1201,5.4,2074,1932,413,5,509,3.8,3815,4513,324,495,7,7.7,443,658,11,6.9,46,34,17 / 23,27 / 33,49,41,18,30,1,0,16,24,0,1,5,
0,seahawks,2022,346,347,106,206,34,130,188,29,76 / 201,96 / 227,12 / 21,11 / 28,5976,6149,1044,5.7,1117,5.5,2042,2554,425,4.8,525,4.9,4282,3595,399,573,12,7.5,343,547,14,6.6,46,45,34 / 37,26 / 32,44,46,12,30,0,1,21,23,0,2,2,
0,buccaneers,2017,352,327,76,243,33,102,202,23,85 / 196,104 / 216,4 / 8,2 / 9,5816,6049,1034,5.6,1011,6,1450,1880,389,3.7,440,4.3,4607,4169,378,605,14,7.6,371,549,13,7.6,40,22,25 / 34,26 / 30,35,43,8,26,0,2,17,22,2,2,-1,
0,buccaneers,2018,388,356,80,265,43,122,209,25,86 / 187,73 / 181,9 / 13,7 / 14,6648,6134,1055,6.3,998,6.2,1523,1983,389,3.9,426,4.6,5358,4151,408,625,26,8.6,387,534,9,7.8,41,38,20 / 27,21 / 23,48,57,11,36,0,1,19,34,0,4,-18,
0,buccaneers,2019,353,331,81,244,28,70,222,39,90 / 217,75 / 218,9 / 17,13 / 27,6366,5503,1086,5.9,1073,5.1,1521,1181,409,3.7,362,3.3,5127,4322,382,630,30,8.1,408,664,12,6.5,47,47,27 / 35,37 / 43,50,48,15,33,0,6,11,30,0,7,-13,
0,buccaneers,2020,364,319,82,238,44,78,215,26,83 / 191,82 / 205,8 / 14,14 / 25,6145,5234,1017,6,1023,5.1,1519,1289,369,4.1,358,3.6,4776,3945,410,626,12,7.6,426,617,15,6.4,22,48,28 / 31,21 / 26,59,42,16,42,0,1,10,29,1,2,8,
0,buccaneers,2021,404,344,106,273,25,94,214,36,105 / 223,87 / 226,9 / 16,13 / 28,6901,5635,1139,6.1,1093,5.2,1672,1573,385,4.3,366,4.3,5383,4062,492,731,12,7.4,445,680,17,6,23,47,25 / 31,27 / 31,63,39,18,43,0,2,11,26,0,2,10,
0,buccaneers,2022,346,314,79,240,27,103,186,25,92 / 246,87 / 236,15 / 27,14 / 24,5894,5513,1159,5.1,1073,5.1,1308,2052,386,3.4,458,4.5,4746,3461,499,751,10,6.3,364,570,10,6.1,22,45,31 / 38,24 / 27,32,41,5,26,0,1,12,29,0,0,-2,
0,tennesseetitans,2017,290,323,97,157,36,68,231,24,71 / 202,78 / 214,5 / 10,10 / 16,5024,5248,974,5.2,1046,5,1833,1420,443,4.1,398,3.6,3394,3828,306,496,17,6.8,369,605,12,6.3,35,43,35 / 42,37 / 41,32,36,18,14,0,1,5,27,0,4,-4,
0,tennesseetitans,2018,289,298,106,156,27,98,182,18,82 / 205,75 / 205,7 / 12,11 / 20,4998,5334,938,5.3,1001,5.3,2023,1863,454,4.5,429,4.3,3255,3471,293,437,12,7.4,337,533,11,6.5,47,39,26 / 30,26 / 29,34,32,15,16,1,2,9,21,1,1,-1,
0,tennesseetitans,2019,317,335,104,177,36,95,213,27,70 / 185,74 / 204,4 / 14,10 / 25,5805,5752,949,6.1,1056,5.4,2223,1672,445,5,415,4,3956,4080,297,448,8,8.8,386,598,14,6.8,56,43,8 / 18,21 / 27,52,39,21,29,0,3,14,25,0,0,6,
0,tennesseetitans,2020,381,391,142,203,36,113,247,31,84 / 182,111 / 214,10 / 16,15 / 26,6343,6372,1031,6.2,1076,5.9,2690,1933,521,5.2,427,4.5,3826,4439,316,485,7,7.9,423,630,15,7,25,19,20 / 28,21 / 23,61,54,26,33,1,1,18,36,0,0,11,
0,tennesseetitans,2021,362,331,134,194,34,90,204,37,103 / 236,77 / 210,15 / 24,14 / 24,5822,5607,1133,5.1,1039,5.4,2404,1438,551,4.4,368,3.9,3745,4169,359,535,14,7,395,628,16,6.6,47,43,26 / 32,31 / 38,48,38,23,22,0,3,14,24,0,0,-3,
0,tennesseetitans,2022,277,339,104,153,20,93,215,31,80 / 219,77 / 225,9 / 17,19 / 26,5045,5978,992,5.1,1100,5.4,2131,1307,487,4.4,390,3.4,3227,4671,285,456,11,7.1,439,671,14,7,49,39,20 / 24,25 / 27,34,41,16,16,0,1,9,29,0,3,-3,
0,commanders,2017,278,307,66,191,21,105,171,31,66 / 204,83 / 226,9 / 16,9 / 15,5199,5566,982,5.3,1045,5.3,1448,2146,401,3.6,472,4.6,4093,3420,347,540,13,7.6,306,531,16,6.4,41,42,24 / 28,34 / 41,39,41,10,27,0,2,13,23,1,4,-4,
0,commanders,2018,280,330,96,156,28,109,197,24,75 / 206,86 / 196,10 / 18,5 / 13,4795,5654,967,5,996,5.7,1774,1860,414,4.3,413,4.5,3287,3794,311,509,15,6.5,362,537,15,7.1,44,46,26 / 29,21 / 26,28,43,12,16,0,1,12,27,1,3,7,
0,commanders,2019,248,354,74,154,20,120,200,34,52 / 179,111 / 227,6 / 14,12 / 19,4395,6162,885,5,1079,5.7,1583,2339,356,4.4,493,4.7,3205,3823,298,479,13,6.7,371,540,13,7.1,50,46,25 / 30,25 / 30,28,52,9,18,1,0,14,35,0,3,1,
0,commanders,2020,322,289,108,184,30,100,161,28,88 / 225,81 / 216,11 / 19,9 / 24,5076,4873,1051,4.8,1004,4.8,1611,1805,400,4,428,4.2,3796,3068,389,601,16,6.3,330,529,16,5.8,50,47,27 / 34,24 / 27,36,37,18,16,0,3,14,21,0,2,-4,
0,commanders,2021,345,346,129,181,35,101,220,25,87 / 224,111 / 229,16 / 32,12 / 20,5502,6108,1070,5.1,1065,5.7,2061,1775,477,4.3,430,4.1,3746,4333,356,550,15,6.8,400,597,11,7.3,43,38,28 / 33,27 / 29,37,50,13,21,1,2,14,34,0,2,-6,
0,commanders,2022,339,286,124,184,31,102,155,29,81 / 230,67 / 210,12 / 25,12 / 25,5615,5178,1140,4.9,998,5.2,2143,1926,538,4,441,4.4,3783,3252,344,554,16,6.8,308,514,9,6.3,48,43,25 / 30,26 / 29,35,38,9,24,0,3,10,26,0,2,-5,
